Q,A
清洗,| 问题编号 | 问题内容                                          | 选项 A                                   | 选项 B                                     | 分支说明或推荐方法编号                         | |----------|---------------------------------------------------|-------------------------------------------|---------------------------------------------|--------------------------------------------------| | Q1       | 表面是否存在明显的有机残留或油脂？               | 是                                        | 否                                          | A → 方法 1（热丙酮预清洗）或 7（酸洗），B → Q2 | | Q2       | 是否需要温和处理（如样品惧高温或化学腐蚀）？     | 是                                        | 否                                          | A → 方法 8（UV-Ozone）或 9（等离子），B → Q3   | | Q3       | 是否需要强力去除顽固有机或金属污染？             | 是                                        | 否                                          | A → 方法 7（Piranha酸洗），B → Q4               | | Q4       | 是否需清除微粒或结构边缘污染？                   | 是                                        | 否                                          | A → 方法 3（超声辅助清洗），B → Q5              | | Q5       | 是否为多极性污染（有机+无机），需标准清洗流程？ | 是                                        | 否                                          | A → 方法 2（多步溶剂清洗），B → Q6              | | Q6       | 是否是晶圆或大尺寸样品，需快速无残留干燥？       | 是                                        | 否                                          | A → 方法 10（旋转冲洗干燥），B → Q7             | | Q7       | 是否需要控制干燥品质（防水斑、洁净度要求高）？   | 是                                        | 否                                          | A → 方法 4（氮气吹扫），B → 方法 5（热烘干）    | | Q8       | 是否需要确认清洁效果（例如在光刻前）？           | 是                                        | 否                                          | A → 方法 6（暗场显微检查），B → 清洗流程结束     |
表面改性,| 问题编号 | 问题内容                                                 | 选项 A                                          | 选项 B                                              | 分支说明或推荐方法编号                                | |----------|----------------------------------------------------------|--------------------------------------------------|------------------------------------------------------|---------------------------------------------------------| | Q1       | 是否需提升胶或薄膜的附着力（如图形保形、膜剥离问题）？   | 是                                               | 否                                                   | A → Q2，B → 可不使用改性或仅表面清洗                   | | Q2       | 材料表面为亲水性无机物（如 SiO₂、玻璃、ITO）？           | 是                                               | 否                                                   | A → Q3，B → Q4                                          | | Q3       | 是否对湿法处理（液体）敏感，或担心污染残留？             | 是                                               | 否                                                   | A → 方法 2（HMDS气相），B → 方法 4（Spin-Coat HMDS）   | | Q4       | 材料为聚合物（如 PET、PI），或不能进入真空腔体？         | 是                                               | 否                                                   | A → 方法 7（电晕放电），B → Q5                         | | Q5       | 是否可接受真空或离子处理（例如等离子体）？               | 是                                               | 否                                                   | A → 方法 1（等离子改性），B → Q6                       | | Q6       | 是否需要温和处理，同时避免高温与离子损伤？               | 是                                               | 否                                                   | A → 方法 3（UV-Ozone）或 方法 8（臭氧水），B → Q7      | | Q7       | 是否需要表面形成有序分子结构或特定化学功能？             | 是                                               | 否                                                   | A → 方法 6（SAMs 自组装单分子膜），B → 方法 5（湿法清洗）|
匀胶,| 问题编号 | 问题内容                                                 | 选项 A                                       | 选项 B                                         | 分支说明或推荐方法编号                                  | |----------|----------------------------------------------------------|-----------------------------------------------|-------------------------------------------------|-----------------------------------------------------------| | Q1       | 你使用的曝光方式是哪种？                                  | 紫外曝光（UV）                                | 电子束曝光（EBL）                                | A → Q2，B → Q5                                            | | Q2       | 图形是否用于金属 Lift-Off 工艺？                         | 是                                            | 否                                              | 是 → Q3，否 → 方法 3（负胶单层，结构保留）               | | Q3       | 是否需要图形边缘倒边结构以辅助剥离？                     | 是                                            | 否                                              | 是 → 方法 4（负胶双层），否 → Q4                         | | Q4       | 是否可以接受使用双层胶？                                 | 是                                            | 否                                              | 是 → 方法 2（正胶双层），否 → 方法 1（正胶单层）         | | Q5       | 是否对图形分辨率有纳米级（<100 nm）要求？                | 是                                            | 否                                              | 是 → Q6，否 → Q7                                         | | Q6       | 图形用途是金属 Lift-Off 还是仅用于刻蚀/转移？            | Lift-Off                                     | 刻蚀或图形转移                                  | Lift-Off → 方法 6（正胶双层），刻蚀 → 方法 5（正胶单层） | | Q7       | 是否需要保留胶结构或用于MEMS结构/牺牲层？                | 是                                            | 否                                              | 是 → 方法 7（负胶单层），否 → 方法 8（负胶双层）         |
曝光文件准备/版图设计,| 问题编号 | 问题内容                                                    | 选项 A                                             | 选项 B                                              | 分支说明或推荐方法编号                                        | |----------|-------------------------------------------------------------|----------------------------------------------------|-----------------------------------------------------|-----------------------------------------------------------------| | Q1       | 你用于绘图的设计目标主要是哪类？                             | IC结构/微纳结构                                    | 机械结构/非标准几何                                  | A → 推荐方法 1（L-Edit），B → 推荐方法 1（QCAD/AutoCAD）       | | Q2       | 是否需要导出用于光刻/EBL的标准文件格式？                     | 是                                                 | 否                                                  | 是 → Q3，否 → 暂不需导出                                       | | Q3       | 后续曝光方式是光刻（如Mask或Stepper）还是电子束曝光（EBL）？ | 光刻（Mask / UV Stepper）                          | 电子束曝光（EBL）                                   | 光刻 → 推荐方法 2（导出 GDSII/DXF），EBL → Q4                   | | Q4       | 电子束曝光系统是否要求特定格式（如 dc2）？                  | 是                                                 | 否                                                  | 是 → 推荐方法 3（dc2格式转换），否 → 方法 2（GDSII 通用）      | | Q5       | 设计中是否存在多层工艺或需重复对准的结构？                   | 是                                                 | 否                                                  | 是 → 推荐方法 4（设计套刻标记），否 → 可跳过                    | | Q6       | 是否需要对 GDS 文件进行结构检查或简化 cell / 逻辑结构？     | 是                                                 | 否                                                  | 是 → 推荐方法 5（KLayout），否 → 版图可直接用于曝光            |
曝光,| 问题编号 | 问题内容                                                        | 选项 A                                                      | 选项 B                                                       | 分支说明或推荐方法编号                                         | |----------|-----------------------------------------------------------------|--------------------------------------------------------------|---------------------------------------------------------------|------------------------------------------------------------------| | Q1       | 曝光类型为哪类？                                                | 紫外曝光（UV）                                              | 电子束曝光（EBL）                                            | UV → Q2，EBL → Q6                                                | | Q2       | 图形尺寸是否小于 1 µm？（对精度和套刻有要求）                   | 是                                                          | 否                                                           | 是 → 方法 4（投影曝光），否 → Q3                                 | | Q3       | 是否对掩模寿命/污染敏感？（如高价值掩模或洁净度波动）           | 是                                                          | 否                                                           | 是 → 方法 2（软接触），否 → Q4                                   | | Q4       | 是否对图形边缘质量或干法刻蚀适配性有要求？                      | 是                                                          | 否                                                           | 是 → 方法 3（真空接触），否 → 方法 1（硬接触）                   | | Q5       | 是否为先进制程（<28nm节点）且有产线/预算支持？                  | 是                                                          | 否                                                           | 是 → 方法 5（DUV）或 6（EUV），否 → 回到 Q1                      | | Q6       | 图形尺寸是否 <100 nm 且需高精度对准或多层结构？                 | 是                                                          | 否                                                           | 是 → 方法 7（EBPG/JEOL 精密系统），否 → Q7                        | | Q7       | 是否样品平整度差、翘曲大或图形需覆盖大面积？                    | 是                                                          | 否                                                           | 是 → 方法 8（多倍率 + 拉平系统），否 → Q8                        | | Q8       | 是否需严格控制曝光剂量？（如灰度、精细Lift-Off）               | 是                                                          | 否                                                           | 是 → 方法 9（法拉第杯束流监测），否 → Q9                         | | Q9       | 是否为小批次科研样品或灵活结构设计，无掩模需求？                | 是                                                          | 否                                                           | 是 → 方法 10（直写Direct Write），否 → Q10                       | | Q10      | 是否为特定设备平台（如“老EBL”或“北大EBL”）环境下使用？           | 是，老EBL                                                  | 是，北大EBL                                                 | 老EBL → 方法 11，北大 → 方法 12                                  |
显影,| 问题编号 | 问题内容                                                       | 选项 A                                                  | 选项 B                                                 | 分支说明或推荐方法编号                                      | |----------|----------------------------------------------------------------|----------------------------------------------------------|---------------------------------------------------------|---------------------------------------------------------------| | Q1       | 你使用的是哪种类型的光刻胶？                                   | 正胶                                                    | 负胶                                                   | 正胶 → Q2，负胶 → Q5                                         | | Q2       | 是否使用的是 PMMA 电子束胶？                                   | 是                                                      | 否                                                     | 是 → Q3，否 → Q4                                             | | Q3       | 是否为 <20 nm 高分辨率图形？                                   | 是                                                      | 否                                                     | 是 → 方法 4（冷MIBK:IPA），否 → 方法 3（MIBK:IPA）           | | Q4       | 是否为 AZ 系列正胶，且要求高洁净环境（如CMOS兼容）？           | 是                                                      | 否                                                     | 是 → 方法 2（AZ MIF 726），否 → 方法 1（ma-D 525）           | | Q5       | 你使用的是哪类负胶？                                           | Ma-N 或 AZ nLOF 系列                                    | NR 系列                                                | Ma-N → 方法 7，AZ nLOF → 方法 8，NR → Q6                      | | Q6       | 是否对图形边缘清晰度要求高？                                   | 是                                                      | 否                                                     | 是 → 方法 9（RD6），否 → 方法 8（AZ 726 MIF）                | | Q7       | 是否使用 SU-8 厚胶？                                           | 是                                                      | 否                                                     | 是 → Q8，否 → 跳过                                           | | Q8       | 是否为标准化量产或工艺一致性要求高？                           | 是                                                      | 否                                                     | 是 → 方法 6（SU-8 Developer），否 → 方法 5（PGMEA）          | | Q9       | 显影后是否使用定影液终止显影过程？                             | 是                                                      | 否                                                     | 是 → Q10，否 → 显影结束                                      | | Q10      | 使用的是哪类显影液体系？                                       | TMAH（水性）                                             | 有机溶剂（如MIBK、PGMEA）                              | TMAH → 方法 11（DI水定影），有机 → 方法 10（IPA定影）         | | Q11      | 是否为 NR系列负胶，需要额外清洁步骤？                         | 是                                                      | 否                                                     | 是 → 方法 12（DI水+IPA组合冲洗），否 → 定影结束              |
去底胶,| 问题编号 | 问题内容                                                    | 选项 A                                                      | 选项 B                                                  | 分支说明或推荐方法编号                                    | |----------|-------------------------------------------------------------|--------------------------------------------------------------|----------------------------------------------------------|-------------------------------------------------------------| | Q1       | 残胶层厚度是否小于 100 nm，且底层材料耐氧/等离子处理？     | 是                                                           | 否                                                       | 是 → 方法 1（等离子体去胶），否 → Q2                       | | Q2       | 底层是否为易损结构（如金属/低k膜），或需控制CD变化？        | 是                                                           | 否                                                       | 是 → 方法 2（低功率RIE软刻蚀），否 → Q3                    | | Q3       | 材料是否对离子轰击敏感，或工艺热预算 <150°C？               | 是                                                           | 否                                                       | 是 → 方法 3（UV-Ozone 去胶），否 → Q4                      | | Q4       | 是否存在非极性、架桥型残胶或金属离子残留风险？              | 是                                                           | 否                                                       | 是 → 方法 4（加热辅助气相清洗），否 → Q5                   | | Q5       | 光刻胶层是否较厚（>1 µm）或为双层胶结构？                   | 是                                                           | 否                                                       | 是 → 方法 5（NMP/EKC化学去胶），否 → Q6                    | | Q6       | 是否对环保工艺、无金属污染及湿法兼容性有要求？              | 是                                                           | 否                                                       | 是 → 方法 6（臭氧水处理），否 → Q7                         | | Q7       | 是否为高纵深比结构、有封装空腔、或极端颗粒洁净要求？        | 是                                                           | 否                                                       | 是 → 方法 7（超临界CO₂清洗），否 → 方法 1 或结束（常规工艺）|
沉积,| 问题编号 | 问题内容                                                    | 选项 A                                                 | 选项 B                                               | 分支说明或推荐方法编号                                      | |----------|-------------------------------------------------------------|---------------------------------------------------------|-------------------------------------------------------|----------------------------------------------------------------| | Q1       | 所需沉积的材料是金属还是非金属/复合物？                    | 金属                                                  | 非金属或复合物                                      | 金属 → Q2，非金属 → Q6                                         | | Q2       | 膜厚是否较厚（>300 nm），或需低温沉积？                     | 是                                                    | 否                                                  | 是 → Q11（电镀/化学镀），否 → Q3                               | | Q3       | 是否需要高纯度、控制简单的金属膜？                          | 是                                                    | 否                                                  | 是 → 方法 1（电子束蒸镀），否 → Q4                             | | Q4       | 是否为成本敏感/设备简陋场合，且膜应力控制不严格？          | 是                                                    | 否                                                  | 是 → 方法 2（热蒸镀），否 → Q5                                 | | Q5       | 是否对附着力、密度、均匀性有较高要求？                     | 是                                                    | 否                                                  | 是 → 方法 3（磁控溅射），否 → Q8（反应溅射）或 12（喷墨）      | | Q6       | 是否为高均匀性/致密性要求（如光学膜）？                    | 是                                                    | 否                                                  | 是 → 方法 4（IBS），否 → Q7                                    | | Q7       | 是否需极薄膜（<10 nm）且有阶梯结构或纳米精度？              | 是                                                    | 否                                                  | 是 → 方法 5（ALD），否 → Q9                                    | | Q8       | 是否需要沉积氧化物/氮化物等化合物材料？                    | 是                                                    | 否                                                  | 是 → 方法 8（反应溅射），否 → 回到 Q3                          | | Q9       | 是否要求大面积厚膜沉积且需良好覆盖性（如介电层）？         | 是                                                    | 否                                                  | 是 → 方法 6（CVD），否 → Q10                                   | | Q10      | 材料是否热敏感，或需低温封装膜（<200°C）？                 | 是                                                    | 否                                                  | 是 → 方法 7（PECVD），否 → Q11                                 | | Q11      | 是否需要极高厚度控制、异质结构（III-V、量子器件）？        | 是                                                    | 否                                                  | 是 → 方法 9（MBE），否 → Q12                                   | | Q12      | 是否需要图案化沉积或应用于柔性/大面积器件？                | 是                                                    | 否                                                  | 是 → 方法 12（喷墨/纳米印刷），否 → 方法 10（PLD）             |
剥离,| 问题编号 | 问题内容                                                      | 选项 A                                                     | 选项 B                                                    | 分支说明或推荐方法编号                                       | |----------|---------------------------------------------------------------|-------------------------------------------------------------|------------------------------------------------------------|----------------------------------------------------------------| | Q1       | 使用的光刻胶是否为常规正胶，金属层较薄且图形尺寸较大？       | 是                                                         | 否                                                        | 是 → 方法 1（丙酮剥离），否 → Q2                               | | Q2       | 是否为厚胶、深沟槽，或经过热处理导致光刻胶变硬？             | 是                                                         | 否                                                        | 是 → 方法 2（NMP热剥离），否 → Q3                              | | Q3       | 是否存在对金属层或敏感材料（如磁性层）兼容性要求？           | 是                                                         | 否                                                        | 是 → 方法 3（TechniStrip），否 → Q4                            | | Q4       | 是否需要与后续清洗（如铜工艺、批量工艺）流程兼容？           | 是                                                         | 否                                                        | 是 → 方法 4（EKC 830），否 → Q5                                | | Q5       | 剥离后是否有残胶/边缘钝化，器件可接受等离子体处理？          | 是                                                         | 否                                                        | 是 → 方法 5（O₂ 等离子辅助去残胶），否 → Q6                    | | Q6       | 样品是否包含可动结构或MEMS器件，对超声不敏感或易受损？       | 是                                                         | 否                                                        | 是 → 方法 6（微流体震荡剥离），否 → Q7                         | | Q7       | 是否有环保、安全、VOC排放方面的限制或特殊要求？              | 是                                                         | 否                                                        | 是 → 方法 7（BioStrip等环保溶剂），否 → 回到方法 2或方法 4     |
刻蚀,| 问题编号 | 问题内容                                                      | 选项 A                                                | 选项 B                                                | 分支说明或推荐方法编号                                         | |----------|---------------------------------------------------------------|--------------------------------------------------------|--------------------------------------------------------|------------------------------------------------------------------| | Q1       | 被刻蚀材料是金属还是非金属（Si、氧化物等）？                  | 金属                                                  | 非金属或混合结构                                     | 金属 → Q2，非金属 → Q4                                           | | Q2       | 是否需要高精度图形边缘控制或刻蚀深度较浅？                    | 是                                                    | 否                                                  | 是 → 方法 2（离子束刻蚀），否 → Q3                              | | Q3       | 是否希望通过化学选择性控制金属去除？                          | 是                                                    | 否                                                  | 是 → 方法 5（金属湿法刻蚀），否 → 方法 6（干湿结合）             | | Q4       | 是否为深刻蚀、结构复杂、各向异性要求高（如MEMS、DRIE）？     | 是                                                    | 否                                                  | 是 → 方法 1（ICP-RIE），否 → Q5                                  | | Q5       | 是否为大面积硅/氧化物刻蚀，对图形形貌要求不高？               | 是                                                    | 否                                                  | 是 → 方法 3（湿法刻蚀），否 → Q6                                 | | Q6       | 材料是否对等离子体较敏感，或需要中等刻蚀选择性？              | 是                                                    | 否                                                  | 是 → 方法 4（气体刻蚀），否 → Q7                                 | | Q7       | 是否为热敏/电敏器件（如图像传感器、堆叠结构）？              | 是                                                    | 否                                                  | 是 → 方法 9（低能等离子体），否 → Q8                             | | Q8       | 是否需刻蚀非标准材料（如PI、玻璃、陶瓷）或不接触底电极？      | 是                                                    | 否                                                  | 是 → 方法 8（激光刻蚀），否 → Q9                                 | | Q9       | 是否为先进节点器件，且需原子级控制？                           | 是                                                    | 否                                                  | 是 → 方法 7（ALE），否 → 方法 6（混合刻蚀或重新判断）            |
去胶清洗,| 问题编号 | 问题内容                                                         | 选项 A                                                     | 选项 B                                                     | 分支说明或推荐方法编号                                         | |----------|------------------------------------------------------------------|-------------------------------------------------------------|-------------------------------------------------------------|------------------------------------------------------------------| | Q1       | 光刻胶是否为常规正胶，且图形尺寸较大（>1 µm）？                 | 是                                                         | 否                                                         | 是 → 方法 1（丙酮/NMP 溶剂清洗），否 → Q2                        | | Q2       | 是否需清除碳化残留，或在 CD 敏感区域清洗？                      | 是                                                         | 否                                                         | 是 → 方法 2（等离子体去胶），否 → Q3                             | | Q3       | 是否为低k、有机薄膜、热敏材料，不能承受等离子体冲击？           | 是                                                         | 否                                                         | 是 → 方法 3（UV-Ozone 去胶），否 → Q4                            | | Q4       | 样品是否包含金属层，且需防止腐蚀或金属层脱落？                  | 是                                                         | 否                                                         | 是 → 方法 4（TechniStrip、Remover PG），否 → Q5                  | | Q5       | 是否需同时去除有机残留与金属杂质（如用于封装前清洁）？          | 是                                                         | 否                                                         | 是 → 方法 5（SC1 清洗），否 → Q6                                 | | Q6       | 是否包含高纵深比、悬空结构或极端热/力敏感器件？                 | 是                                                         | 否                                                         | 是 → 方法 6（超临界 CO₂ 清洗），否 → Q7                          | | Q7       | 是否为 CMOS 兼容型器件、图像传感器或绿色无金属残留场景？        | 是                                                         | 否                                                         | 是 → 方法 7（臭氧水 O₃ DIW），否 → 返回方法 1或方法 2（常规）     |
